YEAR,MONTH,DATE,DATE,INCOME,CAT_NEW,CAT_NEW_TOT,CAT_NEW_INCM_PCENT,CAT_NEW_BENCHMARK
2020,7,1972-07-01,1/07/2020,13218.79,Need,9364.7,70.84385182,50
2020,7,1900-07-01,16/07/2020,13218.79,Investment,200,1.512997786,20
2020,7,1910-07-01,2/07/2020,13218.79,Desire,4598.86,34.79032498,30
2020,6,2000-06-01,8/06/2020,8068.83,Need,7149.73,88.60925314,50
2020,6,1900-06-01,17/06/2020,8068.83,Investment,200,2.478674108,20
2020,6,1904-06-01,30/06/2020,8068.83,Desire,1768.45,21.91705613,30
2020,5,1970-05-01,12/05/2020,10760.91,Need,7574.92,70.39293145,50
2020,5,1902-05-01,16/05/2020,10760.91,Investment,200,1.858578875,20
2020,5,1978-05-01,30/05/2020,10760.91,Desire,6280.45,58.36355847,30
2020,4,1913-04-01,8/04/2020,24528.98,Need,17859.83,72.81114013,50
2020,4,1901-04-01,17/04/2020,24528.98,Investment,200,0.815362074,20
2020,4,1937-04-01,30/04/2020,24528.98,Desire,2595.43,10.58107594,30
2020,3,1971-03-01,2/03/2020,44410.36,Need,44781.45,100.8355933,50
2020,3,1902-03-01,16/03/2020,44410.36,Investment,200,0.45034537,20
2020,3,1942-03-01,10/03/2020,44410.36,Desire,2207.66,4.971047296,30
2020,2,1961-02-01,1/02/2020,8157.21,Need,5731.9,70.26789797,50
2020,2,1901-02-01,16/02/2020,8157.21,Investment,200,2.451818698,20
2020,2,1906-02-01,1/02/2020,8157.21,Desire,6381.31,78.22907587,30
2020,1,1961-01-01,10/01/2020,11570.92,Need,1541.44,13.32167192,50
2020,1,1904-01-01,16/01/2020,11570.92,Investment,200,1.728471029,20
2020,1,1963-01-01,23/01/2020,11570.92,Desire,4374.87,37.80918026,30
2019,12,1966-12-01,2/12/2019,9217.77,Need,6569.77,71.27287836,50
2019,12,1903-12-01,16/12/2019,9217.77,Investment,200,2.169722178,20
2019,12,1967-12-01,10/12/2019,9217.77,Desire,3915.1,42.47339649,30
2019,11,1964-11-01,2/11/2019,15395.47,Need,9513.56,61.79454086,50
2019,11,1903-11-01,16/11/2019,15395.47,Investment,200,1.299083432,20
2019,11,1947-11-01,16/11/2019,15395.47,Desire,948.33,6.159798954,30
2019,10,2004-10-01,6/10/2019,9290.04,Need,5691.75,61.26722813,50
2019,10,2034-10-01,16/10/2019,9290.04,Investment,430,4.628613009,20
2019,10,1922-10-01,18/10/2019,9290.04,Desire,5934.68,63.88217919,30
2019,9,1910-09-01,2/09/2019,11849.86,Need,7830.33,66.07951486,50
2019,9,1985-09-01,16/09/2019,11849.86,Investment,430,3.628734854,20
2019,9,1901-09-01,3/09/2019,11849.86,Desire,8039.05,67.84088588,30
2019,8,1984-08-01,1/08/2019,11394.65,Need,7361.58,64.60558244,50
2019,8,2754-08-01,16/08/2019,11394.65,Investment,430,3.773700816,20
2019,8,1969-08-01,22/08/2019,11394.65,Desire,5404.24,47.42787185,30
2019,7,1918-07-01,1/07/2019,7783.18,Need,8152.12,104.7402219,50
2019,7,1901-07-01,1/07/2019,7783.18,Investment,10430,134.0069226,20
2019,7,1916-07-01,2/07/2019,7783.18,Desire,1761.24,22.62879697,30
2019,6,1924-06-01,4/06/2019,59160.3,Need,6379.46,10.78334626,50
2019,6,1974-06-01,1/06/2019,59160.3,Investment,50430,85.24297544,20
2019,6,1906-06-01,1/06/2019,59160.3,Desire,968.49,1.637060664,30
2019,5,1969-05-01,1/05/2019,7072.1,Need,5997.61,84.80663452,50
2019,5,1905-05-01,1/05/2019,7072.1,Investment,60430,854.4845237,20
2019,5,1914-05-01,8/05/2019,7072.1,Desire,4910.67,69.43722515,30
2019,4,1931-04-01,1/04/2019,36185.65,Need,6772.9,18.71708813,50
2019,4,1903-04-01,16/04/2019,36185.65,Investment,430,1.188316363,20
2019,4,1967-04-01,1/04/2019,36185.65,Desire,6109.74,16.88442794,30
2019,3,1990-03-01,1/03/2019,33860.19,Need,8454.55,24.96899752,50
2019,3,1906-03-01,14/03/2019,33860.19,Investment,25200.42,74.42492201,20
2019,3,1941-03-01,4/03/2019,33860.19,Desire,2172.84,6.417093348,30
2019,2,1976-02-01,4/02/2019,8229.01,Need,5728.05,69.60800874,50
2019,2,1907-02-01,16/02/2019,8229.01,Investment,430,5.225415937,20
2019,2,1969-02-01,3/02/2019,8229.01,Desire,1178.83,14.32529551,30
2019,1,1985-01-01,3/01/2019,14402.89,Need,4566.13,31.70287352,50
2019,1,1907-01-01,16/01/2019,14402.89,Investment,500,3.471525506,20
2019,1,1943-01-01,22/01/2019,14402.89,Desire,9676.3,67.18304451,30
2018,12,1977-12-01,3/12/2018,7558.02,Need,6858.88,90.7496937,50
2018,12,1906-12-01,16/12/2018,7558.02,Investment,500,6.615489242,20
2018,12,1943-12-01,18/12/2018,7558.02,Desire,3166.63,41.8976134,30
2018,11,#NUM!,1/11/2018,7125.5,Need,5471.5,76.78759385,50
2018,11,1906-11-01,16/11/2018,7125.5,Investment,500,7.017051435,20
2018,11,1977-11-01,10/11/2018,7125.5,Desire,4916.64,69.00063153,30
2018,10,1900-10-01,2/10/2018,6801.5,Need,5791.3,85.14739396,50
2018,10,1900-10-01,16/10/2018,6801.5,Investment,500,7.351319562,20
2018,10,1900-10-01,7/10/2018,6801.5,Desire,2979.52,43.80680732,30
2018,9,1900-09-01,3/09/2018,7771.21,Need,6003.91,77.25836774,50
2018,9,1900-09-01,16/09/2018,7771.21,Investment,500,6.434004486,20
2018,9,1900-09-01,28/09/2018,7771.21,Desire,3370.38,43.37008008,30
2018,8,1900-08-01,13/08/2018,7667.51,Need,-3511.19,-45.79309319,50
2018,8,1900-08-01,16/08/2018,7667.51,Investment,500,6.521021818,20
2018,8,1900-08-01,13/08/2018,7667.51,Desire,5947.96,77.57355387,30
